iter	Passed	Remaining
0	152	152194
1	154	77208
2	157	52248
3	160	39961
4	162	32356
5	165	27400
6	166	23687
7	168	20866
8	172	19007
9	175	17345
10	176	15894
11	178	14691
12	180	13674
13	181	12779
14	182	11998
15	185	11414
16	189	10933
17	190	10393
18	191	9913
19	193	9484
20	194	9083
21	195	8710
22	196	8366
23	198	8062
24	201	7864
25	203	7632
26	205	7389
27	206	7157
28	207	6947
29	208	6751
30	210	6576
31	211	6396
32	212	6236
33	214	6092
34	216	5965
35	217	5827
36	218	5698
37	220	5571
38	221	5452
39	222	5349
40	224	5249
41	227	5180
42	229	5100
43	231	5028
44	233	4946
45	234	4866
46	236	4787
47	237	4708
48	238	4638
49	242	4603
50	245	4571
51	247	4513
52	249	4449
53	250	4386
54	251	4324
55	253	4265
56	254	4209
57	258	4191
58	260	4159
59	262	4109
60	263	4057
61	265	4009
62	266	3961
63	267	3914
64	268	3868
65	272	3854
66	275	3833
67	276	3792
68	277	3748
69	279	3709
70	281	3678
71	282	3641
72	283	3605
73	287	3600
74	290	3577
75	292	3558
76	294	3531
77	296	3502
78	297	3471
79	298	3437
80	302	3434
81	305	3416
82	306	3387
83	309	3377
84	311	3349
85	312	3319
86	313	3292
87	316	3284
88	319	3265
89	322	3256
90	324	3242
91	326	3222
92	327	3195
93	328	3169
94	330	3147
95	332	3126
96	333	3109
97	335	3089
98	337	3068
99	338	3049
100	340	3029
101	341	3009
102	343	2988
103	344	2968
104	346	2952
105	347	2934
106	349	2920
107	352	2907
108	353	2893
109	355	2874
110	356	2855
111	357	2835
112	359	2818
113	360	2800
114	361	2785
115	363	2771
116	365	2755
117	366	2739
118	368	2724
119	369	2707
120	370	2691
121	371	2673
122	373	2660
123	374	2644
124	375	2631
125	377	2618
126	379	2607
127	381	2595
128	382	2583
129	383	2569
130	385	2555
131	386	2542
132	387	2529
133	389	2515
134	390	2503
135	392	2493
136	394	2482
137	397	2479
138	398	2470
139	400	2460
140	401	2447
141	402	2434
142	405	2429
143	407	2421
144	410	2421
145	412	2412
146	414	2402
147	415	2391
148	416	2379
149	417	2368
150	419	2358
151	421	2352
152	423	2342
153	425	2339
154	427	2332
155	429	2323
156	430	2313
157	432	2303
158	433	2294
159	435	2286
160	436	2276
161	438	2268
162	440	2262
163	441	2252
164	443	2242
165	444	2233
166	445	2224
167	448	2219
168	449	2210
169	451	2204
170	453	2198
171	455	2193
172	457	2185
173	458	2176
174	459	2167
175	461	2158
176	462	2150
177	463	2142
178	465	2135
179	467	2127
180	469	2122
181	471	2116
182	473	2112
183	474	2106
184	476	2098
185	477	2090
186	479	2082
187	480	2074
188	482	2069
189	484	2065
190	486	2061
191	488	2054
192	489	2046
193	490	2038
194	493	2035
195	494	2029
196	496	2023
197	498	2018
198	499	2011
199	501	2004
200	502	1997
201	503	1990
202	505	1982
203	506	1976
204	507	1969
205	509	1963
206	513	1966
207	516	1965
208	518	1961
209	519	1954
210	522	1951
211	523	1946
212	525	1940
213	529	1946
214	532	1944
215	534	1939
216	535	1933
217	537	1928
218	539	1922
219	540	1916
220	542	1912
221	544	1908
222	546	1904
223	548	1898
224	549	1892
225	551	1889
226	553	1884
227	554	1878
228	556	1873
229	558	1868
230	559	1862
231	561	1858
232	562	1852
233	564	1846
234	565	1840
235	566	1834
236	568	1829
237	569	1823
238	570	1817
239	572	1813
240	575	1812
241	578	1811
242	580	1806
243	581	1801
244	582	1795
245	584	1791
246	585	1786
247	588	1783
248	589	1777
249	591	1775
250	594	1772
251	595	1768
252	596	1762
253	598	1757
254	599	1751
255	601	1747
256	605	1751
257	608	1749
258	609	1745
259	611	1739
260	612	1734
261	613	1729
262	615	1724
263	617	1720
264	618	1716
265	620	1713
266	622	1709
267	624	1704
268	625	1699
269	627	1695
270	628	1690
271	629	1685
272	631	1681
273	633	1677
274	634	1673
275	636	1669
276	637	1665
277	639	1660
278	640	1656
279	642	1652
280	644	1648
281	645	1643
282	646	1638
283	648	1635
284	650	1633
285	652	1630
286	654	1625
287	656	1621
288	657	1617
289	659	1613
290	660	1609
291	663	1609
292	666	1607
293	668	1604
294	669	1600
295	671	1596
296	673	1593
297	674	1588
298	675	1584
299	677	1580
300	679	1576
301	681	1574
302	683	1571
303	685	1568
304	686	1564
305	688	1560
306	689	1556
307	691	1553
308	692	1549
309	694	1545
310	696	1543
311	698	1540
312	700	1537
313	702	1534
314	703	1529
315	704	1525
316	706	1522
317	708	1519
318	710	1515
319	713	1516
320	716	1516
321	718	1513
322	720	1509
323	722	1506
324	726	1508
325	729	1507
326	730	1504
327	732	1501
328	734	1497
329	735	1493
330	738	1493
331	741	1490
332	742	1486
333	743	1483
334	745	1479
335	746	1475
336	748	1471
337	749	1467
338	750	1463
339	753	1461
340	756	1461
341	758	1460
342	760	1456
343	761	1452
344	763	1448
345	764	1445
346	766	1441
347	769	1440
348	772	1440
349	773	1437
350	775	1433
351	776	1429
352	778	1426
353	779	1423
354	783	1423
355	787	1424
356	789	1421
357	790	1417
358	792	1414
359	793	1410
360	795	1407
361	796	1403
362	801	1406
363	803	1403
364	804	1399
365	805	1395
366	806	1391
367	807	1387
368	809	1383
369	811	1381
370	814	1381
371	817	1380
372	819	1377
373	821	1374
374	823	1372
375	825	1369
376	826	1366
377	830	1366
378	832	1364
379	834	1361
380	836	1359
381	838	1356
382	840	1353
383	841	1350
384	845	1351
385	848	1349
386	850	1346
387	851	1343
388	853	1339
389	854	1336
390	856	1333
391	857	1329
392	863	1333
393	865	1331
394	866	1327
395	868	1324
396	870	1321
397	871	1318
398	874	1317
399	877	1316
400	880	1314
401	881	1311
402	884	1310
403	887	1308
404	888	1305
405	890	1302
406	894	1303
407	897	1302
408	900	1300
409	902	1298
410	904	1296
411	906	1294
412	909	1292
413	910	1289
414	912	1285
415	913	1282
416	914	1279
417	916	1275
418	918	1273
419	919	1270
420	921	1266
421	922	1263
422	923	1260
423	925	1256
424	926	1253
425	927	1249
426	929	1246
427	930	1243
428	931	1240
429	933	1237
430	935	1234
431	938	1233
432	939	1230
433	941	1227
434	943	1224
435	944	1221
436	945	1218
437	947	1215
438	949	1213
439	950	1210
440	953	1208
441	955	1206
442	956	1203
443	958	1200
444	959	1196
445	961	1194
446	962	1191
447	964	1188
448	967	1187
449	969	1185
450	971	1182
451	972	1179
452	973	1175
453	975	1173
454	977	1170
455	980	1169
456	983	1169
457	985	1166
458	987	1163
459	988	1160
460	990	1157
461	991	1154
462	992	1151
463	994	1149
464	996	1146
465	998	1144
466	1000	1141
467	1002	1139
468	1003	1135
469	1004	1133
470	1008	1132
471	1011	1131
472	1013	1128
473	1014	1126
474	1016	1123
475	1017	1120
476	1019	1117
477	1020	1114
478	1022	1112
479	1024	1110
480	1027	1108
481	1029	1106
482	1031	1103
483	1032	1101
484	1034	1098
485	1035	1095
486	1037	1093
487	1039	1090
488	1042	1088
489	1045	1088
490	1047	1086
491	1049	1083
492	1051	1081
493	1053	1078
494	1055	1076
495	1057	1074
496	1059	1072
497	1061	1069
498	1062	1066
499	1063	1063
500	1065	1061
501	1069	1061
502	1072	1059
503	1074	1057
504	1076	1054
505	1077	1052
506	1079	1049
507	1081	1047
508	1084	1046
509	1086	1044
510	1089	1042
511	1091	1040
512	1093	1037
513	1094	1035
514	1096	1032
515	1098	1030
516	1099	1027
517	1101	1024
518	1103	1023
519	1105	1020
520	1107	1018
521	1108	1015
522	1110	1012
523	1112	1010
524	1114	1008
525	1115	1005
526	1118	1003
527	1121	1002
528	1123	1000
529	1124	997
530	1126	994
531	1127	991
532	1129	989
533	1131	987
534	1133	985
535	1135	982
536	1136	979
537	1137	976
538	1138	974
539	1140	971
540	1142	969
541	1145	968
542	1149	967
543	1150	964
544	1152	961
545	1153	959
546	1155	956
547	1156	953
548	1157	951
549	1159	948
550	1161	946
551	1164	944
552	1166	942
553	1167	939
554	1168	937
555	1170	934
556	1171	932
557	1173	929
558	1175	927
559	1177	924
560	1179	922
561	1181	920
562	1182	917
563	1183	915
564	1185	912
565	1186	909
566	1187	907
567	1189	904
568	1190	902
569	1193	900
570	1195	897
571	1196	895
572	1197	892
573	1198	889
574	1200	887
575	1202	884
576	1203	882
577	1205	880
578	1206	877
579	1208	875
580	1209	872
581	1211	869
582	1212	867
583	1213	864
584	1215	862
585	1216	859
586	1217	856
587	1219	854
588	1221	852
589	1223	850
590	1225	847
591	1226	845
592	1227	842
593	1228	839
594	1230	837
595	1231	835
596	1233	832
597	1235	830
598	1237	828
599	1239	826
600	1240	823
601	1242	821
602	1243	818
603	1245	816
604	1249	815
605	1253	814
606	1255	812
607	1258	811
608	1260	809
609	1262	807
610	1264	804
611	1265	802
612	1267	800
613	1270	798
614	1272	796
615	1274	794
616	1276	792
617	1277	789
618	1280	788
619	1283	786
620	1285	784
621	1286	781
622	1287	779
623	1289	776
624	1290	774
